adid,opportunity,healthcare,sensitive,financial,prohibited,harmful,clickbait
6268749729286,0,0,0,0,0,0,0
23849374268280233,0,0,0,0,0,0,0
6247810055358,0,0,0,0,0,0,0
23849336815680703,0,0,0,0,0,0,0
23848834321790690,0,0,0,1,0,0,1
23848832828510285,0,0,0,1,0,0,0
6242765307776,0,0,0,0,0,0,0
23849342920860340,0,0,0,0,0,0,0
23848754373680420,0,0,0,0,0,0,0
23849181895800030,0,0,0,0,0,0,0
23848632552180052,0,0,0,0,0,0,0
6242926679881,0,0,0,0,0,0,0
23849055933520107,0,0,0,0,0,0,0
23848721951140260,0,0,0,0,0,0,0
6254413481299,0,0,0,0,0,0,0
23849648040270331,0,0,0,0,0,0,0
6248091367576,0,0,0,0,0,0,0
6278714710251,0,0,0,0,0,0,0
23849118800730248,0,0,0,0,0,0,0
23848510902830592,0,0,0,0,0,0,0
23848480449410046,0,0,0,0,0,0,0
23849178994590365,0,0,0,0,0,0,0
23849008136960392,0,0,0,1,0,0,0
23849179369030468,1,0,0,0,0,0,0
23848712602510783,0,0,0,1,0,0,0
6286730197024,0,0,0,0,0,0,0
23848613057090352,0,0,0,0,0,0,0
23848710171430676,0,0,0,0,0,0,0
23848990340070424,0,0,0,0,0,0,0
6258493002155,1,0,0,0,0,0,0
23848637534040673,0,1,0,0,0,0,0
6258908953004,0,0,0,0,0,0,0
23849138709310563,0,0,0,0,0,0,0
23848498496090180,0,0,0,0,0,0,0
6240838879994,0,0,0,0,0,0,0
23848946110080410,0,0,0,1,0,0,0
23849043378580130,0,0,0,0,0,0,0
23849015525300030,0,0,0,0,0,0,0
23848728475110204,0,0,0,0,0,0,0
23848814950330329,0,0,1,0,0,0,0
23848375959710433,0,0,0,0,0,0,0
23849843076160587,0,0,0,0,0,0,0
23848943840330418,0,0,0,0,0,0,0
23848651008050787,0,0,0,0,0,0,0
23848643024850285,1,0,0,0,0,0,0
6264880856147,0,0,0,0,0,0,0
23844109860700367,0,0,0,0,0,0,0
23849435674440578,0,0,0,0,0,0,0
23849374231300021,0,0,0,0,0,0,0
6250439077202,0,0,0,0,0,0,0
23849492891150780,0,0,0,0,0,0,0
23849966429050628,0,0,0,0,0,0,0
23848682684860581,1,0,0,0,0,0,0
