relevance,scam_dislike,other_dislike,general_like,general_dislike,sensitive,prohibited,harmful,clickbait,benign,code_other,pid
4,0,0,1,0,0,0,0,0,0,1,60e3dea3ffbd0e2a90942794
4,1,0,0,0,0,0,0,0,1,0,60e3dea3ffbd0e2a90942794
5,0,0,1,0,0,0,0,0,1,0,60e3dea3ffbd0e2a90942794
5,1,0,1,0,0,0,0,0,0,1,60e3dea3ffbd0e2a90942794
3,0,1,1,1,1,0,0,0,0,0,60e3dea3ffbd0e2a90942794
3,0,0,1,0,0,0,0,0,1,0,60e3dea3ffbd0e2a90942794
1,1,1,0,1,0,0,0,0,0,1,60e3dea3ffbd0e2a90942794
1,1,1,0,1,0,0,0,0,0,1,60e3dea3ffbd0e2a90942794
5,0,0,1,0,0,0,0,0,0,1,60e3dea3ffbd0e2a90942794
5,1,0,0,0,0,0,0,0,1,0,60e3dea3ffbd0e2a90942794
2,0,0,1,0,0,0,0,1,1,0,60e3dea3ffbd0e2a90942794
3,1,0,0,0,0,0,0,0,0,1,60e3dea3ffbd0e2a90942794
2,0,0,1,0,0,0,0,0,0,1,60e3dea3ffbd0e2a90942794
5,0,0,1,0,0,0,0,0,0,1,60e3dea3ffbd0e2a90942794
2,0,0,1,0,0,0,0,0,1,0,60e3dea3ffbd0e2a90942794
1,1,0,0,1,0,0,0,1,1,0,60e3dea3ffbd0e2a90942794
3,1,0,1,0,0,0,0,0,1,0,60e3dea3ffbd0e2a90942794
5,0,0,1,0,0,0,0,0,0,1,60e3dea3ffbd0e2a90942794
5,0,0,1,0,0,0,0,0,1,0,60e3dea3ffbd0e2a90942794
1,1,0,0,1,0,0,0,1,1,0,60e3dea3ffbd0e2a90942794
3,0,0,1,0,0,0,0,0,0,1,60e3dea3ffbd0e2a90942794
1,1,1,0,1,0,0,0,0,1,0,60e3dea3ffbd0e2a90942794
1,1,0,0,1,0,0,0,1,1,0,60e3dea3ffbd0e2a90942794
4,0,0,1,0,0,0,0,0,0,1,60e3dea3ffbd0e2a90942794
5,0,0,1,0,0,0,0,0,1,0,60e3dea3ffbd0e2a90942794
5,0,0,1,0,0,0,0,0,1,0,60e3dea3ffbd0e2a90942794
4,1,0,0,1,0,0,0,0,0,1,60e3dea3ffbd0e2a90942794
5,0,0,1,0,0,0,0,0,1,0,60e3dea3ffbd0e2a90942794
5,0,0,1,0,0,0,0,0,1,0,60e3dea3ffbd0e2a90942794
5,0,0,1,0,0,0,0,0,0,1,60e3dea3ffbd0e2a90942794
1,1,1,0,1,0,0,0,0,1,0,611d8aa6ab57a5ddf8025b8e
1,1,1,0,1,0,1,0,0,0,0,611d8aa6ab57a5ddf8025b8e
2,1,1,0,1,0,0,0,0,1,0,611d8aa6ab57a5ddf8025b8e
1,1,1,0,1,0,0,0,0,0,1,611d8aa6ab57a5ddf8025b8e
1,0,1,0,1,0,0,0,0,0,1,959537
5,0,0,1,0,0,0,0,0,0,1,140023
1,1,1,0,1,0,0,0,0,0,1,5db1142453bf830017fc744c
5,0,0,1,0,0,0,0,0,0,1,192670
3,1,0,0,1,0,0,0,0,0,1,326424
2,0,0,1,0,0,0,0,0,1,0,611d8aa6ab57a5ddf8025b8e
4,0,0,1,0,0,0,0,0,1,0,611d8aa6ab57a5ddf8025b8e
5,0,0,1,0,0,0,0,0,1,0,611d8aa6ab57a5ddf8025b8e
1,1,1,0,1,0,0,0,0,1,0,611d8aa6ab57a5ddf8025b8e
4,0,0,1,0,0,0,0,0,1,0,611d8aa6ab57a5ddf8025b8e
2,1,0,0,1,0,0,0,0,0,1,611d8aa6ab57a5ddf8025b8e
3,1,1,0,1,0,0,0,0,1,0,611d8aa6ab57a5ddf8025b8e
4,0,0,1,0,0,0,0,0,1,0,611d8aa6ab57a5ddf8025b8e
5,0,0,1,0,0,0,0,0,1,0,611d8aa6ab57a5ddf8025b8e
2,1,1,0,1,0,0,0,0,1,0,611d8aa6ab57a5ddf8025b8e
2,1,1,0,0,0,0,0,0,1,0,611d8aa6ab57a5ddf8025b8e
2,1,1,0,1,0,0,0,0,1,0,611d8aa6ab57a5ddf8025b8e
3,1,0,0,1,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
4,0,0,1,0,0,0,0,0,1,0,611d8aa6ab57a5ddf8025b8e
5,0,0,1,0,0,0,0,0,1,0,611d8aa6ab57a5ddf8025b8e
3,0,0,1,0,0,0,0,0,1,0,611d8aa6ab57a5ddf8025b8e
4,0,0,1,0,0,0,0,0,1,0,611d8aa6ab57a5ddf8025b8e
4,0,0,1,1,0,0,0,0,1,0,611d8aa6ab57a5ddf8025b8e
2,1,1,0,1,0,0,0,0,1,0,611d8aa6ab57a5ddf8025b8e
4,1,1,0,0,0,0,0,0,1,0,6130e3db169db34eb3cde8cc
2,0,1,0,0,0,0,0,0,1,0,6130e3db169db34eb3cde8cc
1,1,1,0,1,0,0,0,1,1,0,6130e3db169db34eb3cde8cc
4,0,0,1,0,0,0,0,0,1,0,6130e3db169db34eb3cde8cc
3,0,0,1,0,0,0,0,0,1,0,6130e3db169db34eb3cde8cc
3,1,0,0,0,0,0,0,1,1,0,6130e3db169db34eb3cde8cc
1,1,1,0,1,0,0,0,1,1,0,6130e3db169db34eb3cde8cc
4,1,0,0,0,0,0,0,0,1,0,6130e3db169db34eb3cde8cc
2,1,0,0,1,0,0,0,1,1,0,6130e3db169db34eb3cde8cc
5,1,0,1,0,0,0,0,0,1,0,6130e3db169db34eb3cde8cc
3,0,0,1,1,0,0,0,0,0,1,6130e3db169db34eb3cde8cc
5,1,0,0,0,0,0,0,0,1,0,6130e3db169db34eb3cde8cc
5,0,0,1,0,0,0,0,0,1,0,5e84765c7206730182a6f738
1,1,1,0,1,0,0,0,1,1,0,6130e3db169db34eb3cde8cc
2,1,0,0,0,0,0,0,1,1,0,6130e3db169db34eb3cde8cc
