adid,n_interests,custom
23849001865970603,3,0
6263329208544,0,0
23848243858370584,1,0
23848595585360569,0,1
6273318007601,8,0
6240889607481,0,0
6228753841633,4,0
23848610528120166,2,0
23847765921750381,0,1
6282868255473,4,0
6271335744940,1,1
23849293991610362,1,0
6233283626187,0,0
23849031083140534,0,0
6244364149976,0,0
6263646526474,0,0
23849052186380323,0,0
23849046160000563,0,1
23848598356410581,5,0
6314442803726,16,0
23849812609310543,0,0
6295016356213,0,1
6283581479820,0,0
23849393378240244,0,1
6244370181399,0,0
23848768334750711,0,0
23848741965960042,0,1
23849166220890311,0,1
23848628605920645,0,0
23848057762470724,0,0
23849208613180578,4,0
23848928598950413,0,0
6246026056100,0,1
23848385811660724,0,1
23849991665940426,0,1
23848908996790399,0,0
23848245372430352,0,0
23848329488670155,0,1
6254787491752,0,0
6239898445248,0,1
6273314262796,0,1
6265258932283,0,1
6249028900110,0,1
23849295552020415,1,0
6252232920299,0,1
6268586632588,3,0
6273900826801,0,0
6258016988885,3,0
23848913226140370,0,1
23844463356150452,4,0
23848727236240657,0,1
6239256782137,4,0
23848760068200232,0,0
23847742121620231,7,0
23848768364570711,0,0
23849330205150244,0,0
6251949387492,0,1
23848795449320541,0,0
23848617583890170,0,1
23848631408400157,0,0
23849163740290713,0,0
6265035216968,1,0
23849322599030731,0,0
23848884209520484,0,0
23848851390690434,0,0
6242949863098,0,0
23849433259890321,0,0
23848477133600388,0,0
23848947110360686,0,0
23848975458440323,1,0
23849322605710731,0,0
6273645274001,0,1
23849016089350079,0,0
6255480963454,0,1
23848932007260438,0,0
23848976173520015,0,0
23848741961380042,0,1
23848636264610503,0,1
23848595533510569,0,1
6255014076945,5,0
23848424869910170,0,0
23848552071240701,1,0
6252377480667,0,0
6253505602945,1,1
6265687170348,0,0
23848540706120178,0,1
23848419413770552,0,1
23848320660540178,0,0
23848475318640486,0,0
23848513517930306,6,1
23849167667190359,8,0
23849154293240554,3,0
23848562146870520,0,1
6266204713148,2,0
23849143209520746,0,0
23848403161320531,0,1
23848198409670328,0,0
23848814432340205,0,0
23848982940600525,0,0
23848381824970231,1,0
23849132460980585,3,0
6276062065816,0,1
23848897290180364,1,0
23847267190000100,0,1
23848938295530061,0,0
23849373110620332,0,0
6256568915069,0,1
23848357534160552,0,1
23849796347270746,0,0
23848078241550724,0,1
23848426383890633,0,1
6295033159813,0,1
6257804104157,0,1
6253793083795,0,1
23849130566710214,0,1
23848892524570721,6,1
23849129558450413,2,0
23849041337280174,1,0
23848506688470618,0,1
23848892158510368,10,1
6273317966801,8,0
23848328151310108,1,0
23848968289280449,1,0
23848791462550478,0,1
23849334807030222,0,0
23849001838580603,3,0
23848403222240668,2,0
23848596981600054,0,0
23848851223510325,8,0
23848946340260492,0,1
6254857428989,1,0
23848493868190037,1,0
6251578799324,10,0
23848618392400483,0,0
23848610521960166,1,0
23848630181960600,3,0
23849280335780405,0,0
6253331164525,0,1
23849028348860548,0,1
23849332913860202,0,0
23848249970480055,3,0
23848619789000460,0,0
23848517974970409,0,0
23849816405960426,0,0
23848743679020083,0,1
6246113885529,0,1
23847690337940235,1,0
6239845579937,4,0
23848993154290016,3,0
23848978828510370,0,1
23849021571750521,0,0
23849022409220105,0,0
23849008785840713,1,0
23848949050990017,0,0
23848821835160198,0,0
23849131171480153,0,0
23849249118420439,0,0
6242949859898,0,0
6277177216630,0,0
23848087374250713,0,0
23849336993820708,0,0
6256265918387,1,0
23848720919150711,0,0
23847356524490423,0,0
6237011821130,3,0
6240025117003,1,0
6267290874719,1,0
23848328106040108,0,1
23848521357020285,1,0
6273317996601,8,0
23848288570150352,0,1
6242277980905,0,1
23849132457080585,1,0
23849358498110070,1,0
23848515785540313,0,0
23848706118400607,0,0
23848613759810471,0,0
23848541366290271,0,0
23848385677960724,0,1
23848630481190546,0,0
6258492836263,0,1
23849480206140662,0,1
23848598353190581,4,0
6265216294607,0,0
23848956768120079,3,1
23848861839680438,0,0
23848692646080569,0,1
23849652141660505,1,0
23849432006770259,1,0
23843329159970796,0,0
6295033126413,0,1
6256504795627,0,0
23848655641960142,0,1
6249617560929,0,0
23847543363900003,0,0
23848634320220008,6,0
6233283672187,1,0
6247150268754,1,0
23848399964240352,0,1
6278287104153,0,1
23849373107660332,0,0
23848360788250136,0,1
23848634331440008,6,0
6256640379187,1,0
23849260867140160,0,0
23848741958020042,0,1
23848786617330486,0,0
6260256874969,1,0
23848647587320135,0,0
23849248431260405,0,1
6247110808667,0,1
23848946340350492,0,1
23849505786650333,0,0
23847128585890440,1,0
23848897220630709,0,1
23849728023760133,0,1
6263026009144,0,0
23847773372710451,0,1
6276061588016,0,1
23848742621410502,8,0
23848657566410541,0,0
23848708030460316,2,0
23848436700880745,0,0
23849107063910236,6,1
6255096061101,0,1
23848434829260126,3,0
23849313330080259,0,1
23848562741060330,0,1
23848655404630428,2,0
23848607535920376,8,0
23848945336860607,0,0
23849156891090436,2,1
23848801074470373,2,0
6256640354387,1,0
6242775797176,1,0
23848019225020018,5,0
6273901497601,0,0
23849584258670173,2,0
6267745891184,0,1
23849230664880585,3,0
23849117150150532,1,0
23846819157270414,0,1
23848305086100724,0,0
23849547416580369,4,0
23849387538600741,1,0
6286118663213,0,0
23848972394320266,2,0
23848532415130772,0,0
23848501935610604,2,0
23848565520490306,6,1
23849196496450484,3,0
6242460220322,2,0
6250714196187,0,0
23848567331750655,0,0
23848426382200633,0,1
23849855475500426,0,0
23848741157010169,0,0
23848742562860623,0,0
