pid,adid,relevance,n_interests,custom,city,region,country
60e3dea3ffbd0e2a90942794,23848657584150051,1,0,0,0,0,1
60e3dea3ffbd0e2a90942794,23848560067930155,5,0,1,1,0,0
60e3dea3ffbd0e2a90942794,23848939363060753,2,0,0,0,0,1
60e3dea3ffbd0e2a90942794,6259376826381,3,0,0,0,0,1
60e3dea3ffbd0e2a90942794,6261489189191,3,0,0,0,0,1
60e3dea3ffbd0e2a90942794,23848657566410541,3,0,0,0,1,0
60e3dea3ffbd0e2a90942794,23848786617330486,1,0,0,1,0,0
60e3dea3ffbd0e2a90942794,23847392656350763,5,5,0,0,0,1
60e3dea3ffbd0e2a90942794,23848430450430711,5,0,0,0,0,1
60e3dea3ffbd0e2a90942794,23848614627180137,2,0,0,0,0,1
60e3dea3ffbd0e2a90942794,23848657563470541,4,0,0,0,1,0
60e3dea3ffbd0e2a90942794,6268508387361,4,0,0,0,0,1
60e3dea3ffbd0e2a90942794,23849421955360343,5,0,0,0,1,0
60e3dea3ffbd0e2a90942794,6270738292768,5,1,0,0,0,1
60e3dea3ffbd0e2a90942794,23848635197610135,1,0,0,0,0,1
60e3dea3ffbd0e2a90942794,6256677149769,5,0,0,0,0,1
60e3dea3ffbd0e2a90942794,6260681959992,5,1,0,0,0,1
60e3dea3ffbd0e2a90942794,23849609044520090,1,0,0,0,0,1
60e3dea3ffbd0e2a90942794,23849107705220561,2,0,0,1,0,0
60e3dea3ffbd0e2a90942794,6260678384768,5,0,0,0,0,1
60e3dea3ffbd0e2a90942794,6260681960992,5,1,0,0,0,1
60e3dea3ffbd0e2a90942794,23849194490280249,3,19,0,0,0,1
60e3dea3ffbd0e2a90942794,23849052970370606,5,0,0,0,0,1
60e3dea3ffbd0e2a90942794,23849048722800181,3,0,0,0,0,1
60e3dea3ffbd0e2a90942794,23848882939060232,1,0,0,1,0,0
60e3dea3ffbd0e2a90942794,23848436700880745,4,0,0,0,0,1
60e3dea3ffbd0e2a90942794,23849503688470578,5,0,0,0,0,1
60e3dea3ffbd0e2a90942794,23849836329630746,4,0,1,0,0,1
60e3dea3ffbd0e2a90942794,6261993048368,5,0,0,0,0,1
60e3dea3ffbd0e2a90942794,23848631408400157,1,0,0,0,0,1
611d8aa6ab57a5ddf8025b8e,23849156754090096,1,0,0,0,0,1
611d8aa6ab57a5ddf8025b8e,23848803506480462,5,2,0,0,0,1
611d8aa6ab57a5ddf8025b8e,23849240720090713,4,0,0,1,0,0
611d8aa6ab57a5ddf8025b8e,6268859222168,4,3,0,1,0,0
611d8aa6ab57a5ddf8025b8e,6265168263144,1,0,0,0,1,0
611d8aa6ab57a5ddf8025b8e,6255869835785,2,0,0,0,0,1
611d8aa6ab57a5ddf8025b8e,23848155595480328,5,0,0,0,0,1
611d8aa6ab57a5ddf8025b8e,6238590135163,2,0,0,0,0,1
611d8aa6ab57a5ddf8025b8e,6257196895795,4,0,0,0,0,1
611d8aa6ab57a5ddf8025b8e,23848390484080713,2,0,0,1,0,0
611d8aa6ab57a5ddf8025b8e,6256640394387,2,1,0,0,0,1
611d8aa6ab57a5ddf8025b8e,6255918030467,2,0,0,0,0,1
611d8aa6ab57a5ddf8025b8e,23848459550880154,3,0,0,0,0,1
611d8aa6ab57a5ddf8025b8e,23848704480760701,3,1,0,0,0,1
611d8aa6ab57a5ddf8025b8e,6273900574401,2,0,0,0,0,1
611d8aa6ab57a5ddf8025b8e,23849208710120053,4,0,0,0,0,1
611d8aa6ab57a5ddf8025b8e,23847356524490423,1,0,0,0,0,1
611d8aa6ab57a5ddf8025b8e,6264929863014,4,0,1,0,0,1
611d8aa6ab57a5ddf8025b8e,23849224157680713,4,0,0,1,0,0
611d8aa6ab57a5ddf8025b8e,23849145317910096,1,0,0,0,0,1
611d8aa6ab57a5ddf8025b8e,23849123422710789,5,0,1,0,0,1
6130e3db169db34eb3cde8cc,23847311981190713,3,0,0,1,0,0
6130e3db169db34eb3cde8cc,23849291472240012,3,0,0,0,0,1
6130e3db169db34eb3cde8cc,6282335682620,5,0,1,0,0,1
6130e3db169db34eb3cde8cc,23848879267500336,3,0,0,0,0,1
6130e3db169db34eb3cde8cc,23849003611150413,5,0,0,0,0,1
6130e3db169db34eb3cde8cc,23849028061270056,5,0,1,0,1,0
6130e3db169db34eb3cde8cc,23849865598020133,1,0,0,0,0,1
6130e3db169db34eb3cde8cc,23847761526320694,4,0,1,1,0,0
6130e3db169db34eb3cde8cc,23849601491330089,4,0,0,0,0,1
6130e3db169db34eb3cde8cc,23848783775700275,2,0,0,0,0,1
6130e3db169db34eb3cde8cc,23848938185080519,2,0,0,0,0,1
6130e3db169db34eb3cde8cc,23848858845620097,3,0,0,0,0,1
6130e3db169db34eb3cde8cc,23848680911740164,2,0,0,0,0,1
6130e3db169db34eb3cde8cc,23846564164800557,4,0,0,0,0,1
6130e3db169db34eb3cde8cc,23849358443720627,4,0,0,1,0,0
6130e3db169db34eb3cde8cc,23849401057240532,5,0,0,0,0,1
6130e3db169db34eb3cde8cc,6250537216200,4,0,0,1,0,0
6130e3db169db34eb3cde8cc,23848411710970512,1,0,0,0,0,1
6130e3db169db34eb3cde8cc,6238197168699,4,0,0,0,0,1
