dislike_general,dislike_unclear,dislike_irrelevant,dislike_pushy,dislike_clickbait,dislike_scam,dislike_product,dislike_design,dislike_uncomfortable,dislike_advertiser,dislike_political,like_general,like_amusing,like_design,like_interested,like_clear,like_trust_ad,like_trust_advertiser,like_useful,like_filterable,opportunity,healthcare,sensitive,financial,prohibited,deceptive,clickbait,neutral,relevance,pid
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,60e3dea3ffbd0e2a90942794
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,60e3dea3ffbd0e2a90942794
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,60e3dea3ffbd0e2a90942794
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,5,60e3dea3ffbd0e2a90942794
0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,60e3dea3ffbd0e2a90942794
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,5,60e3dea3ffbd0e2a90942794
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,5,60e3dea3ffbd0e2a90942794
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,5,60e3dea3ffbd0e2a90942794
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,4,60e3dea3ffbd0e2a90942794
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,60e3dea3ffbd0e2a90942794
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,5,60e3dea3ffbd0e2a90942794
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,2,60e3dea3ffbd0e2a90942794
0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,3,60e3dea3ffbd0e2a90942794
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,5,60e3dea3ffbd0e2a90942794
0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,5,60e3dea3ffbd0e2a90942794
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,5,60e3dea3ffbd0e2a90942794
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,60e3dea3ffbd0e2a90942794
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,5,60e3dea3ffbd0e2a90942794
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,60e3dea3ffbd0e2a90942794
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,5,60e3dea3ffbd0e2a90942794
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,60e3dea3ffbd0e2a90942794
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,60e3dea3ffbd0e2a90942794
