"pid","woman","man","black","white","hispanic","asian","older","high_ed","high_income"
"614254",1,0,0,1,0,0,0,0,0
"5e5ab88a43f33029b119a48c",1,0,0,1,0,0,1,1,0
"6108767c9bec77d0e42e3c44",1,0,0,0,1,0,0,1,1
"5f3d6975ef131710ed519c7a",0,1,0,1,0,0,0,0,0
"6111ad0842f24784fc58b1dc",1,0,0,1,0,0,0,0,1
"60fec21e36a05990cfa8a715",1,0,0,1,0,0,0,0,0
"5a8cb6aaaa46dd00016be788",0,1,0,1,1,0,0,1,0
"5969496f06679c00014b818e",0,1,0,1,0,0,1,0,0
"61708ee3b2310aed09670031",1,0,0,1,0,0,1,0,1
"614f4b52dd9b35160ab95af5",0,1,0,1,0,0,0,1,1
"5bdfa18a90edd30001c90bc8",1,0,0,1,0,0,1,1,1
"5fd63cb585f88c4eb1933661",1,0,1,0,0,0,1,0,0
"5ae5b7e26735bd0001d7dfe3",0,1,0,0,1,0,0,1,1
"5ed5eb6e89c9b81780219ab6",0,1,0,0,0,1,0,1,0
"606147",1,0,1,0,0,0,0,0,1
"61035f1b5f1ff6ea263f7270",1,0,0,0,0,1,0,0,1
"60a48adfe091e410f4eaba34",0,1,0,1,0,0,0,0,0
"60fee23ceeaadd40cd6b36c0",1,0,1,0,0,0,0,0,0
"464573",1,0,0,1,0,0,1,1,0
"636433",1,0,0,1,0,0,1,0,0
"611d8aa6ab57a5ddf8025b8e",1,0,0,1,0,0,0,0,1
"5c315f577626080001a88cb2",0,1,0,0,1,0,0,0,1
"6130e3db169db34eb3cde8cc",0,1,0,1,0,0,1,1,0
"612e7ef85edba8d26ef96c99",1,0,0,1,0,0,0,1,1
"5c61ab19776b38000156cc95",1,0,0,1,0,0,1,1,0
"606e4eb2a56685e5593304cd",0,1,0,1,0,0,1,1,1
"6113f2f052d844ee0a4bfe61",1,0,0,1,0,0,0,0,0
"480847",0,1,0,0,1,0,0,0,0
"391258",1,0,0,1,1,0,0,0,0
"439460",1,0,0,1,0,0,0,1,0
"441420",1,0,0,1,0,0,1,1,0
"5f786ddd6f28d63e71e631b6",0,1,0,1,0,0,0,0,0
"5f19f2fc1af38d0bd7d29b13",1,0,1,0,0,0,0,1,0
"638292",1,0,0,0,0,1,0,1,1
"60a69e84d2f871b61d608e89",0,1,0,1,0,0,0,1,1
"5f3e5e066dfaa70464615447",1,0,1,0,0,0,1,1,1
"60e3dea3ffbd0e2a90942794",1,0,0,1,0,0,0,0,1
"605504fc7a5a699c16ae8b4d",1,0,0,0,1,0,0,1,0
"5db1142453bf830017fc744c",0,1,0,0,1,0,0,1,0
"61648bb6ad1eceeee2c056ee",0,1,0,0,0,1,0,1,0
"6108649840bf2b927ef3905c",0,1,0,0,0,1,0,1,1
"60ee4077cdf4f24a1c607783",1,0,1,0,0,0,1,1,0
"5c8be0dd542fbd0016924f5f",0,1,0,1,0,0,0,1,0
"5e861812b23b0a22ef59c4ee",1,0,0,0,1,0,0,1,0
"5dee72917309b950e5262f3a",0,1,0,1,0,0,0,1,0
"58a2788898124900015923bf",1,0,0,1,0,0,1,0,0
"5ac5207ee1546900019c0279",1,0,0,1,0,0,0,1,1
"60bd88b8fc436774352f53b9",1,0,0,0,0,1,0,0,1
"5ea3310bf9c4f828f0c909c5",1,0,1,0,0,0,0,0,1
"5ee256134d95f435aa78964e",1,0,0,1,1,0,0,1,1
"5f565c9592080106c6b4d467",1,0,1,0,0,0,0,1,0
"5f969b802a498b000aab2571",1,0,0,1,0,0,1,1,0
"5c4af67cdccaa800016b3192",0,1,0,1,0,0,0,1,0
"603e370c5ed1c2db2c3bde24",0,1,0,1,0,0,0,0,0
"6112cec057db665aefdd7a85",1,0,0,1,0,0,0,0,1
"5c80c02f8740a300165833bc",1,0,1,0,0,0,0,0,0
"606df53de4b0550a5f42fefe",0,1,0,0,1,1,0,0,0
"5cf3115e978d46001924e679",1,0,1,0,0,0,0,0,0
"688310",1,0,0,1,1,0,1,0,0
"340500",0,1,0,0,0,1,0,1,1
"340465",1,0,0,1,0,0,0,1,1
"635392",1,0,1,0,0,0,0,1,0
"233362",1,0,0,0,0,1,0,1,0
"610c42860e3a1a52be2b77da",1,0,1,0,0,0,0,0,0
