"gender","income","age","education","ethnicity","pid"
1,2,1991,2,"1","614254"
1,8,1972,6,"1","5e5ab88a43f33029b119a48c"
1,14,1999,5,"2","6108767c9bec77d0e42e3c44"
2,4,1988,4,"1","5f3d6975ef131710ed519c7a"
1,15,2001,2,"1","6111ad0842f24784fc58b1dc"
1,5,1997,3,"1","60fec21e36a05990cfa8a715"
2,6,1998,5,"2,1","5a8cb6aaaa46dd00016be788"
2,6,1980,4,"1","5969496f06679c00014b818e"
1,10,1980,3,"1","61708ee3b2310aed09670031"
2,12,1981,5,"1","614f4b52dd9b35160ab95af5"
1,13,1964,5,"1","5bdfa18a90edd30001c90bc8"
1,1,1975,2,"3","5fd63cb585f88c4eb1933661"
2,11,1985,5,"2","5ae5b7e26735bd0001d7dfe3"
2,5,1996,5,"4","5ed5eb6e89c9b81780219ab6"
1,10,1993,4,"3","606147"
1,15,2002,3,"4","61035f1b5f1ff6ea263f7270"
2,3,1993,3,"1","60a48adfe091e410f4eaba34"
1,8,2002,2,"3","60fee23ceeaadd40cd6b36c0"
1,2,1959,6,"1","464573"
1,2,1942,2,"1","636433"
1,15,2000,4,"1","611d8aa6ab57a5ddf8025b8e"
2,11,1993,3,"2,5","5c315f577626080001a88cb2"
2,5,1977,5,"1","6130e3db169db34eb3cde8cc"
1,10,1994,6,"1","612e7ef85edba8d26ef96c99"
1,3,1979,5,"1","5c61ab19776b38000156cc95"
2,9,1968,5,"1","606e4eb2a56685e5593304cd"
1,1,2002,3,"1","6113f2f052d844ee0a4bfe61"
2,5,1991,3,"2","480847"
1,2,1991,2,"2,1","391258"
1,3,1999,5,"1","439460"
1,6,1979,5,"1","441420"
2,5,1995,3,"1","5f786ddd6f28d63e71e631b6"
1,1,1997,5,"3","5f19f2fc1af38d0bd7d29b13"
1,14,1985,6,"4","638292"
2,10,1990,5,"1","60a69e84d2f871b61d608e89"
1,9,1976,6,"3","5f3e5e066dfaa70464615447"
1,11,1985,2,"1","60e3dea3ffbd0e2a90942794"
1,7,1991,5,"2","605504fc7a5a699c16ae8b4d"
2,2,1994,6,"2","5db1142453bf830017fc744c"
2,3,1995,5,"4","61648bb6ad1eceeee2c056ee"
2,13,1988,6,"4","6108649840bf2b927ef3905c"
1,3,1971,6,"3","60ee4077cdf4f24a1c607783"
2,8,1991,5,"1","5c8be0dd542fbd0016924f5f"
1,4,1990,5,"2","5e861812b23b0a22ef59c4ee"
2,3,1994,5,"1","5dee72917309b950e5262f3a"
1,4,1975,4,"1","58a2788898124900015923bf"
1,12,1983,6,"1","5ac5207ee1546900019c0279"
1,10,2002,3,"4","60bd88b8fc436774352f53b9"
1,14,2000,3,"3","5ea3310bf9c4f828f0c909c5"
1,11,1987,5,"2,1","5ee256134d95f435aa78964e"
1,3,1989,5,"3","5f565c9592080106c6b4d467"
1,6,1979,6,"1","5f969b802a498b000aab2571"
2,5,1982,6,"1","5c4af67cdccaa800016b3192"
2,5,1986,3,"1","603e370c5ed1c2db2c3bde24"
1,14,2000,2,"1","6112cec057db665aefdd7a85"
1,8,1999,3,"3","5c80c02f8740a300165833bc"
2,2,1986,3,"2,4","606df53de4b0550a5f42fefe"
1,4,1989,2,"3","5cf3115e978d46001924e679"
1,3,1952,2,"2,1","688310"
2,15,1998,5,"4","340500"
1,13,1991,5,"1","340465"
1,8,1986,5,"3","635392"
1,6,1985,5,"4","233362"
1,2,1995,3,"3","610c42860e3a1a52be2b77da"
2,14,1955,5,"1","5f8f46ff0b55a11953d90aa5"
1,3,1984,3,"3","601387b4aa37e127b0544497"
1,8,1980,2,"1","5dd40277e08a363e4e006384"
2,10,1989,3,"1","470998"
3,3,1994,6,"1","6107ae1b4c627841741dd5e8"
2,10,1986,6,"1","525028"
1,10,1998,5,"4","438599"
1,3,1974,2,"3","973148"
2,13,1974,5,"4","899499"
1,12,1976,4,"1","959537"
1,15,1961,5,"1","805102"
1,7,1963,2,"1","588623"
2,12,1987,5,"4","164591"
3,2,1985,5,"1","250672"
1,4,1989,5,"1","488250"
1,11,1968,5,"1","111226"
2,2,1986,5,"4","993453"
2,15,1991,3,"3","5a349be43e523d000194399e"
2,10,1988,4,"2,1","61623ea92118b60ca97113c7"
1,5,1970,5,"1","614a74f72a6ff823cff820c2"
2,7,1990,6,"1","743067"
1,1,1987,5,"3","140023"
2,5,1998,5,"3","247621"
2,5,1997,5,"3","564166"
2,6,1997,3,"3","577540"
2,7,1976,5,"3","105905"
2,7,1965,2,"1","602533"
2,11,1965,5,"1","352473"
1,12,1965,5,"1","849164"
2,4,2001,3,"3","755682"
1,3,1989,2,"1","673911"
2,9,1984,6,"4","597658"
1,12,1985,6,"1","400285"
2,7,1984,6,"4","969992"
1,3,1971,3,"1","932389"
