adid	codes
23848834321790690	Clickbait
23848832828510285	Financial
6242765307776	Benign
23849342920860340	Benign
23848754373680420	Benign
23849181895800030	Benign
23848632552180052	Benign
6242926679881	Benign
23849055933520107	Benign
23848721951140260	Benign
6254413481299	Benign
23849648040270331	Benign
6248091367576	Benign
6278714710251	Benign
23849118800730248	Benign
23848510902830592	Benign
23848480449410046	Benign
23849178994590365	Benign
23849008136960392	Financial
23849179369030468	Opportunity
23848712602510783	Financial
6286730197024	Benign
23848613057090352	Benign
23848710171430676	Benign
23848990340070424	Benign
6258493002155	Opportunity
23848637534040673	Healthcare
6258908953004	Benign
23849138709310563	Benign
23848498496090180	Benign
6240838879994	Benign
23848946110080410	Financial
23849043378580130	Benign
23849015525300030	Benign
23848728475110204	Benign
23848375959710433	Benign
23849843076160587	Benign
23848943840330418	Benign
23848651008050787	Benign
23848814950330329	Sensitive
23848643024850285	Opportunity
6264880856147	Benign
23844109860700367	Benign
23849435674440578	Benign
23849374231300021	Benign
6250439077202	Benign
23849492891150780	Benign
23849966429050628	Benign
23848682684860581	Opportunity
6268749729286	Benign
23849356913360768	Benign
23849374268280233	Benign
6247810055358	Benign
6261364605947	Healthcare
23849336815680703	Benign
6257108476455	Benign
23848741646000498	Benign
23849239465040471	Opportunity
23849646652380263	Benign
23848737336450787	Benign
23848568547400724	Benign
23849177297180714	Benign
23848791672330048	Healthcare
6266964377690	Opportunity
23848328526380575	Benign
6251228373530	Benign
6282578706906	Benign
23849132215940710	Benign
23849229065940525	Benign
23849767368800386	Benign
23848983289380039	Benign
23848683400370170	Benign
23849375186410021	Benign
23848478988980667	Benign
23849606774670615	Benign
23849804393170536	Benign
6298462765213	Benign
23848916279400658	Benign
23848995889390434	Benign
23848653683680161	Benign
23848653149260350	Benign
6285960880488	Benign
6269566859772	Benign
6258505842559	Benign
23848905201740711	Benign
6255265234208	Benign
6256272386810	Benign
23848786693990153	Healthcare
23849233997080739	Benign
6280639592796	Benign
23850250471380426	Benign
6263844980806	Healthcare
6265404522310	Opportunity
6286066775645	Benign
23848008529590503	Benign
23848989181820711	Benign
23849421680220661	Benign
23848945336860607	Benign
23849145525110532	Benign
