dont_dislike,unclear,irrelevant,pushy,dislike_clickbait,scam,dislike_product,dislike_design,uncomfortable,dislike_advertiser,dislike_political,opportunity,healthcare,sensitive,financial,prohibited,harmful,clickbait,political,pid
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,60e3dea3ffbd0e2a90942794
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,60e3dea3ffbd0e2a90942794
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60e3dea3ffbd0e2a90942794
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,60e3dea3ffbd0e2a90942794
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60e3dea3ffbd0e2a90942794
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60e3dea3ffbd0e2a90942794
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60e3dea3ffbd0e2a90942794
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60e3dea3ffbd0e2a90942794
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,60e3dea3ffbd0e2a90942794
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60e3dea3ffbd0e2a90942794
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60e3dea3ffbd0e2a90942794
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60e3dea3ffbd0e2a90942794
0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,60e3dea3ffbd0e2a90942794
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60e3dea3ffbd0e2a90942794
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60e3dea3ffbd0e2a90942794
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60e3dea3ffbd0e2a90942794
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60e3dea3ffbd0e2a90942794
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60e3dea3ffbd0e2a90942794
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60e3dea3ffbd0e2a90942794
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60e3dea3ffbd0e2a90942794
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60e3dea3ffbd0e2a90942794
