pid,total,harmful_grouped,neutral,other,opportunity,healthcare,sensitive,deceptive,clickbait,financial,prohibited
978584,531,80,321,130,98,32,5,18,21,24,12
950668,963,110,695,158,40,118,28,12,18,47,5
5dee72917309b950e5262f3a,356,26,275,55,22,33,8,0,2,3,13
5f3d6975ef131710ed519c7a,232,0,196,36,1,35,0,0,0,0,0
131788,60,15,42,3,1,2,8,0,4,3,0
105905,97,12,72,13,10,3,2,3,2,4,1
709832,138,14,87,37,25,12,0,0,6,8,0
60bd88b8fc436774352f53b9,165,2,154,9,5,4,1,0,0,0,1
417360,172,3,131,38,22,16,0,1,2,0,0
61648bb6ad1eceeee2c056ee,1165,71,848,246,18,228,41,9,4,2,15
525028,589,40,446,103,32,71,21,7,3,3,6
149976,37,1,34,2,1,1,0,0,0,1,0
5c315f577626080001a88cb2,646,43,473,130,7,123,9,11,14,1,8
959537,651,54,413,184,47,137,14,11,14,10,5
805102,538,128,260,150,57,93,7,4,47,64,6
340465,679,53,403,223,168,55,7,4,20,19,3
973148,51,6,36,9,1,8,1,2,1,2,0
488250,97,3,47,47,24,23,0,0,0,3,0
5f19f2fc1af38d0bd7d29b13,347,29,298,20,7,13,14,6,2,7,0
5ea3310bf9c4f828f0c909c5,229,15,191,23,14,9,2,0,0,2,11
5f969b802a498b000aab2571,431,16,279,136,95,41,9,4,1,2,0
688310,459,33,276,150,55,95,2,10,10,10,1
147763,1408,138,1018,252,62,190,19,13,27,78,1
588623,811,137,610,64,34,30,18,30,65,17,7
899499,135,35,87,13,9,4,6,1,7,21,0
5ae5b7e26735bd0001d7dfe3,1039,145,567,327,198,129,20,15,13,79,18
233362,631,44,485,102,45,57,4,12,8,20,0
400285,760,68,566,126,29,97,15,4,13,30,6
5e84765c7206730182a6f738,99,8,81,10,4,6,1,4,1,1,1
932389,878,163,497,218,74,144,10,34,39,72,8
298154,537,82,382,73,56,17,13,15,25,26,3
60fec21e36a05990cfa8a715,31,1,28,2,0,2,0,0,1,0,0
6107ae1b4c627841741dd5e8,616,30,531,55,7,48,17,8,1,3,1
606147,680,79,457,144,100,44,2,6,6,61,4
100069157662048,88,22,56,10,1,9,7,3,5,3,4
5ac5207ee1546900019c0279,197,3,182,12,0,12,2,1,0,0,0
5c8be0dd542fbd0016924f5f,97,3,69,25,20,5,1,1,0,0,1
5ed5eb6e89c9b81780219ab6,249,14,213,22,8,14,6,0,1,1,6
603e370c5ed1c2db2c3bde24,583,67,459,57,27,30,25,1,5,33,3
470998,430,36,299,95,52,43,13,3,7,12,1
5bdfa18a90edd30001c90bc8,44,2,36,6,2,4,0,0,1,1,0
610c42860e3a1a52be2b77da,138,6,107,25,24,1,1,0,3,2,0
441420,854,59,552,243,95,148,7,6,33,10,3
