pid	adid	frequency
147763	23849578466410609	150
950668	6303463276424	114
950668	23850019359580607	73
950668	23849975608880245	66
253977	23848506018650448	66
950668	23850618197700731	65
147763	23850252283570609	60
950668	23849346133590724	57
950668	23849905040930245	56
950668	6245806210325	50
950668	23849901875330670	47
5c4af67cdccaa800016b3192	23849225744750013	47
950668	23849772187480220	46
411951	23849361289960174	46
411951	6241256889322	45
950668	23849908524080748	45
950668	23849426089970677	45
950668	23850455081920731	44
950668	23848654271920161	40
950668	6263209434381	40
950668	23850319394540680	40
147763	23849482239380159	40
147763	23850131688910641	39
578273	23849466334080170	39
5c4af67cdccaa800016b3192	23849247652540607	39
950668	23849372779730239	39
950668	23849220408680670	38
950668	23849430364010161	38
950668	6299048868024	38
147763	6265328362072	38
352473	23849837053250024	37
577540	23850246872330472	36
950668	23849910451240174	35
950668	23849520517810216	34
147763	23849796297680768	34
147763	23850252283750609	33
5c4af67cdccaa800016b3192	23849702769540151	33
577540	6291683032001	33
253977	23847391531440310	32
950668	23849507226780569	32
950668	23850319405180680	32
950668	23849520522340216	31
61648bb6ad1eceeee2c056ee	23848361504330475	31
60e3dea3ffbd0e2a90942794	23848741961380042	31
147763	23850246066230277	31
147763	23850040632040489	30
61623ea92118b60ca97113c7	23849546979660782	30
5ae5b7e26735bd0001d7dfe3	23849044126500088	30
578273	23849443869730711	30
950668	23849945627710210	29
147763	23849780951730652	29
147763	23849578466280609	29
411951	6254063091722	28
363198	6291600950851	28
950668	23850069626540561	28
950668	6291395956153	28
950668	23850414564800730	27
950668	23850089008930245	27
147763	6301737844873	27
411951	23850641404110408	27
363198	23849387792060771	26
578273	23849466335350170	26
950668	23850319247240680	26
950668	23849972784190503	26
950668	6305372752424	25
950668	23849783344810161	25
950668	23850548876840731	25
950668	23850231756870698	25
411951	23849872634780613	25
411951	23849372203440174	24
950668	6291354226671	24
950668	23849676935900655	24
932389	23849847269960187	24
5c4af67cdccaa800016b3192	23849236096510013	24
577540	6291683051401	24
5c80c02f8740a300165833bc	23850429894630342	24
5c80c02f8740a300165833bc	6260748876787	23
578273	23849466335830170	23
277428	6224807769769	23
147763	23848932673610095	23
147763	23849951366270098	23
112193	23848863581560423	23
950668	23850213658830405	23
950668	23849760987870101	23
950668	23849758699080161	23
950668	6270952595432	23
950668	23848867777300147	23
932389	23849702769780151	22
950668	23849267625630136	22
950668	23849887060530788	22
950668	23847240875190637	22
578273	6270663736389	22
277428	6296609198616	22
147763	6273644914205	22
352473	23849922341110205	22
147763	23850062569340210	22
147763	6269979305472	22
147763	23850252283720609	21
352473	23849944329670109	21
950668	23849695704500120	21
950668	23849508111540037	21
950668	23849220413520670	21
950668	23850069799370472	21
950668	6270633600181	21
950668	6300554124650	20
950668	23849938175600216	20
950668	23850213661450405	20
950668	23848360794060136	20
950668	23849767363870655	20
932389	23849204811790668	20
748452	23848843493800630	20
950668	23849897602820554	20
950668	6274784009096	20
950668	6296057724728	20
950668	23850618179470731	20
950668	23850032787220210	20
950668	23849111064950054	20
61648bb6ad1eceeee2c056ee	23849417097920546	20
5c315f577626080001a88cb2	23848844302940289	20
5c80c02f8740a300165833bc	6265064035186	20
5c4af67cdccaa800016b3192	23849348894010399	20
578273	23848740953260019	19
5c4af67cdccaa800016b3192	23848685482360524	19
5c80c02f8740a300165833bc	6269064365770	19
5c80c02f8740a300165833bc	23849428832450632	19
112193	23850574377040061	19
950668	6265279227231	19
950668	23850099972290134	19
950668	23849444102310655	19
950668	6279013557961	19
950668	23849869589910473	19
950668	23849556767270639	18
950668	23849919382030354	18
950668	23850350692190333	18
950668	6263209371181	18
950668	23847874973940604	18
950668	23849372779740239	18
950668	23850832199520456	18
950668	23848803876950161	18
950668	23849945234230210	18
950668	23849361110000695	18
932389	6265320935129	18
950668	23848959285800554	18
578273	23850101759510170	18
606147	23849199977840642	18
577540	23851625732420208	18
61648bb6ad1eceeee2c056ee	23848568071820475	18
147763	23849589867670618	18
253977	23851429710030010	18
352473	23849906842990207	18
411951	6263877047335	18
140023	23849324132150643	18
