pid	adid	relevance	like	dislike
60e3dea3ffbd0e2a90942794	23849609044520090	1	I do not like this ad.	It contains clickbait, sensationalized, or shocking content.
60e3dea3ffbd0e2a90942794	23848786617330486	1	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.;I do not trust this ad, it seems like a scam.
60e3dea3ffbd0e2a90942794	23849194490280249	3	I do not like this ad.;It is clear what product the ad is selling.	I do not dislike this ad.;It is irrelevant to me, or doesn’t contain interesting information.
60e3dea3ffbd0e2a90942794	6260678384768	5	I am interested in what is being advertised.;It is well designed or eye-catching.;It is clear what product the ad is selling.;I trust the ad, it looks authentic or trustworthy.;The content is engaging, clever or amusing.	I do not dislike this ad.
60e3dea3ffbd0e2a90942794	23849503688470578	5	I am interested in what is being advertised.;The content is engaging, clever or amusing.;It is well designed or eye-catching.;It is clear what product the ad is selling.	I do not trust this ad, it seems like a scam.
60e3dea3ffbd0e2a90942794	23849052970370606	5	It is useful, interesting, or informative.;I am interested in what is being advertised.;It is clear what product the ad is selling.;I trust the ad, it looks authentic or trustworthy.;It is well designed or eye-catching.;The content is engaging, clever or amusing.;I trust the advertiser.	I do not dislike this ad.
60e3dea3ffbd0e2a90942794	6260681960992	5	It is useful, interesting, or informative.;I am interested in what is being advertised.;It is clear what product the ad is selling.;I trust the ad, it looks authentic or trustworthy.;It is well designed or eye-catching.;The content is engaging, clever or amusing.;I trust the advertiser.	I do not dislike this ad.
60e3dea3ffbd0e2a90942794	23848430450430711	5	It is useful, interesting, or informative.;I am interested in what is being advertised.;It is clear what product the ad is selling.;I trust the ad, it looks authentic or trustworthy.;It is well designed or eye-catching.;The content is engaging, clever or amusing.;I trust the advertiser.	I do not dislike this ad.
60e3dea3ffbd0e2a90942794	23848436700880745	4	I am interested in what is being advertised.;It is useful, interesting, or informative.;It is clear what product the ad is selling.;It is well designed or eye-catching.;The content is engaging, clever or amusing.;I trust the advertiser.	I do not dislike this ad.
60e3dea3ffbd0e2a90942794	6261489189191	3	It is useful, interesting, or informative.;It is clear what product the ad is selling.;It is well designed or eye-catching.;The content is engaging, clever or amusing.	I do not dislike this ad.
60e3dea3ffbd0e2a90942794	6261993048368	5	It is useful, interesting, or informative.;It is clear what product the ad is selling.;I am interested in what is being advertised.;I trust the ad, it looks authentic or trustworthy.;It is well designed or eye-catching.;The content is engaging, clever or amusing.	I do not dislike this ad.
60e3dea3ffbd0e2a90942794	23849107705220561	2	It is useful, interesting, or informative.;It is clear what product the ad is selling.;I trust the ad, it looks authentic or trustworthy.;It is well designed or eye-catching.;The content is engaging, clever or amusing.;I trust the advertiser.	I do not dislike this ad.
60e3dea3ffbd0e2a90942794	23849048722800181	3	It is useful, interesting, or informative.;I am interested in what is being advertised.;It is well designed or eye-catching.;I trust the advertiser.	I cannot tell what is being advertised.;I do not dislike this ad.
60e3dea3ffbd0e2a90942794	23847392656350763	5	It is useful, interesting, or informative.;I am interested in what is being advertised.;It is clear what product the ad is selling.;I trust the ad, it looks authentic or trustworthy.;It is well designed or eye-catching.;The content is engaging, clever or amusing.;I trust the advertiser.	I do not dislike this ad.
60e3dea3ffbd0e2a90942794	23849421955360343	5	It is useful, interesting, or informative.;I am interested in what is being advertised.;It is clear what product the ad is selling.;It is well designed or eye-catching.;The content is engaging, clever or amusing.	I do not dislike this ad.;I do not trust this ad, it seems like a scam.
