,pid,adid,relevance,like,dislike,codes
31,611d8aa6ab57a5ddf8025b8e,6255869835785,2,I do not like this ad.,"I do not trust this ad, it seems like a scam.",Opportunity
174,58a2788898124900015923bf,23849455397100362,1,I do not like this ad.,"I do not trust this ad, it seems like a scam.",Opportunity
223,5f969b802a498b000aab2571,23849320325720321,4,I do not like this ad.,"I do not trust this ad, it seems like a scam.;I find the ad pushy or it causes me to feel anxious.;I do not like the design of the ad.;I dislike the advertiser.",Opportunity
320,60bd88b8fc436774352f53b9,23848682684860581,3,I do not like this ad.,"I do not trust this ad, it seems like a scam.;I dislike the type of product being advertised.",Opportunity
332,5c4af67cdccaa800016b3192,23848816746470401,4,"I am interested in what is being advertised.;It is useful, interesting, or informative.","I do not trust this ad, it seems like a scam.;I do not like the design of the ad.",Opportunity
403,5c8be0dd542fbd0016924f5f,23848465393240383,1,I do not like this ad.,"I do not trust this ad, it seems like a scam.;It contains clickbait, sensationalized, or shocking content.;I dislike the advertiser.",Opportunity
404,5c8be0dd542fbd0016924f5f,23848465393240383,1,I do not like this ad.,"I dislike the type of product being advertised.;I dislike the advertiser.;It is irrelevant to me, or doesn’t contain interesting information.;I find the ad pushy or it causes me to feel anxious.;I do not trust this ad, it seems like a scam.",Opportunity
405,5c8be0dd542fbd0016924f5f,23848465393240383,1,I do not like this ad.,"I find the ad pushy or it causes me to feel anxious.;I do not trust this ad, it seems like a scam.;I dislike the advertiser.;It is irrelevant to me, or doesn’t contain interesting information.",Opportunity
543,5f3e5e066dfaa70464615447,6260139621419,1,I do not like this ad.,"I do not trust this ad, it seems like a scam.",Opportunity
825,6107ae1b4c627841741dd5e8,6274838676619,2,I do not like this ad.,"It is irrelevant to me, or doesn’t contain interesting information.;I do not like the design of the ad.;I do not trust this ad, it seems like a scam.",Opportunity
869,709832,6235333382694,4,It clearly looks like an ad and can be filtered out.;It is clear what product the ad is selling.,"I do not trust this ad, it seems like a scam.",Opportunity
907,347095,6258415474569,3,It clearly looks like an ad and can be filtered out.,"I do not trust this ad, it seems like a scam.",Opportunity
940,525028,6276077767651,4,It clearly looks like an ad and can be filtered out.,"I do not trust this ad, it seems like a scam.;It contains clickbait, sensationalized, or shocking content.;I do not like the design of the ad.",Opportunity
1001,805102,23849243443170700,4,"I am interested in what is being advertised.;It is useful, interesting, or informative.;It is clear what product the ad is selling.;It clearly looks like an ad and can be filtered out.","I do not trust this ad, it seems like a scam.;I do not dislike this ad.",Opportunity
1020,5f19f2fc1af38d0bd7d29b13,6250134726300,1,I do not like this ad.,"I do not trust this ad, it seems like a scam.;I do not like the design of the ad.",Opportunity
1021,805102,6250134726300,1,It clearly looks like an ad and can be filtered out.;I do not like this ad.,"It is irrelevant to me, or doesn’t contain interesting information.;I cannot tell what is being advertised.;I do not like the design of the ad.;I do not trust this ad, it seems like a scam.",Opportunity
1050,480847,23849243460980700,3,I do not like this ad.,"I find the ad pushy or it causes me to feel anxious.;I find the content uncomfortable, offensive, or repulsive.;I do not trust this ad, it seems like a scam.",Opportunity
1054,5f565c9592080106c6b4d467,6264683710775,4,I am interested in what is being advertised.,"I do not trust this ad, it seems like a scam.",Opportunity
1063,614254,6264683510975,4,I am interested in what is being advertised.,"I do not like the design of the ad.;I do not trust this ad, it seems like a scam.;I dislike the advertiser.",Opportunity
1065,525028,6264683510975,4,It is well designed or eye-catching.,"I do not trust this ad, it seems like a scam.;It contains clickbait, sensationalized, or shocking content.;I do not like the design of the ad.",Opportunity
1144,525028,23849011648870276,4,I do not like this ad.,"I do not trust this ad, it seems like a scam.;I cannot tell what is being advertised.",Opportunity
1195,588623,23849092703110157,3,I do not like this ad.,"I do not like the design of the ad.;I do not trust this ad, it seems like a scam.",Opportunity
1372,6107ae1b4c627841741dd5e8,23849555979240105,2,It is clear what product the ad is selling.;It clearly looks like an ad and can be filtered out.;It is well designed or eye-catching.,"I do not trust this ad, it seems like a scam.",Opportunity
1385,6107ae1b4c627841741dd5e8,23849555980210105,2,It is well designed or eye-catching.;It is clear what product the ad is selling.;It clearly looks like an ad and can be filtered out.,"It is irrelevant to me, or doesn’t contain interesting information.;I do not trust this ad, it seems like a scam.",Opportunity
1394,6107ae1b4c627841741dd5e8,23849096530380603,2,It clearly looks like an ad and can be filtered out.,"I do not trust this ad, it seems like a scam.;It is irrelevant to me, or doesn’t contain interesting information.",Opportunity
1503,5f565c9592080106c6b4d467,6271714279711,4,"It is useful, interesting, or informative.;I am interested in what is being advertised.","I do not trust this ad, it seems like a scam.",Opportunity
1506,5f565c9592080106c6b4d467,23849812961930681,3,I am interested in what is being advertised.,"I do not trust this ad, it seems like a scam.",Opportunity
1545,5e5ab88a43f33029b119a48c,23849278255340606,3,I do not like this ad.,"I do not trust this ad, it seems like a scam.",Opportunity
1550,5e5ab88a43f33029b119a48c,23849604213010447,5,I am interested in what is being advertised.,"I do not trust this ad, it seems like a scam.",Opportunity
1668,688310,6238210070805,1,I do not like this ad.,"I do not trust this ad, it seems like a scam.",Opportunity
1669,688310,23849452026380562,1,I do not like this ad.,"I dislike the advertiser.;I do not trust this ad, it seems like a scam.",Opportunity
1676,688310,23848568752770575,1,I do not like this ad.,"I do not trust this ad, it seems like a scam.",Opportunity
1711,441420,23848960951390213,1,I do not like this ad.,"I dislike the type of product being advertised.;I do not trust this ad, it seems like a scam.;I cannot tell what is being advertised.;It is irrelevant to me, or doesn’t contain interesting information.",Opportunity
1729,525028,6276076194451,4,I do not like this ad.,"It contains clickbait, sensationalized, or shocking content.;I do not trust this ad, it seems like a scam.",Opportunity
1734,525028,23849023598150401,4,I am interested in what is being advertised.,"I do not trust this ad, it seems like a scam.",Opportunity
1763,441420,23849503132930695,1,I do not like this ad.,"I do not trust this ad, it seems like a scam.;It is irrelevant to me, or doesn’t contain interesting information.;I dislike the advertiser.;I find the ad pushy or it causes me to feel anxious.;I cannot tell what is being advertised.",Opportunity
1764,441420,23848585974380043,1,I do not like this ad.,"I dislike the type of product being advertised.;I do not trust this ad, it seems like a scam.",Opportunity
1767,441420,6258978823810,2,I do not like this ad.,"I dislike the type of product being advertised.;I do not trust this ad, it seems like a scam.",Opportunity
1769,441420,6259146791936,1,I do not like this ad.,"It is irrelevant to me, or doesn’t contain interesting information.;I do not dislike this ad.;I dislike the type of product being advertised.;I do not trust this ad, it seems like a scam.;I dislike the advertiser.",Opportunity
1771,438599,6259146791936,5,I do not like this ad.,"I do not trust this ad, it seems like a scam.",Opportunity
1865,340500,23848631068040043,3,"It is useful, interesting, or informative.","I cannot tell what is being advertised.;I do not trust this ad, it seems like a scam.",Opportunity
1885,441420,23848508184340745,1,I do not like this ad.,"I do not trust this ad, it seems like a scam.",Opportunity
1886,805102,23849211205970199,1,It is clear what product the ad is selling.;It clearly looks like an ad and can be filtered out.;I do not like this ad.,"It contains clickbait, sensationalized, or shocking content.;It is irrelevant to me, or doesn’t contain interesting information.;I dislike the type of product being advertised.;I do not trust this ad, it seems like a scam.",Opportunity
1903,805102,23848724608430589,4,I am interested in what is being advertised.;It clearly looks like an ad and can be filtered out.,"I do not trust this ad, it seems like a scam.;I do not dislike this ad.",Opportunity
1904,805102,23849029504140032,1,It is clear what product the ad is selling.;It clearly looks like an ad and can be filtered out.;I do not like this ad.,"It is irrelevant to me, or doesn’t contain interesting information.;I do not trust this ad, it seems like a scam.",Opportunity
1929,391258,6258398457610,3,I do not like this ad.,"I do not trust this ad, it seems like a scam.",Opportunity
2139,5db1142453bf830017fc744c,23849256083160590,1,I do not like this ad.,"I do not trust this ad, it seems like a scam.",Opportunity
2181,5bb31a1018b6bb0001bbb0da,23849340062350114,3,I do not like this ad.,"I dislike the type of product being advertised.;I do not like the design of the ad.;I do not trust this ad, it seems like a scam.",Opportunity
